iter	Poisson
0	0.899654103
1	0.7977768425
2	0.6980844248
3	0.5949304866
4	0.4995939367
5	0.4019657701
6	0.3107277364
7	0.2187720375
8	0.1233384725
9	0.03395197156
10	-0.05200492197
11	-0.1409701112
12	-0.2285627065
13	-0.3108305043
14	-0.3903738312
15	-0.4703851127
16	-0.552407061
17	-0.6301931496
18	-0.7095987311
19	-0.7855014834
20	-0.8591008227
21	-0.9333325025
22	-1.002192371
23	-1.068986306
24	-1.14063313
25	-1.209315843
26	-1.279448203
27	-1.347377605
28	-1.415304124
29	-1.480068842
30	-1.54456035
31	-1.605692967
32	-1.666799681
33	-1.726900032
34	-1.787931871
35	-1.842925665
36	-1.897854325
37	-1.955236853
38	-2.011459759
39	-2.064907656
40	-2.115958628
41	-2.165370086
42	-2.214422751
43	-2.261720679
44	-2.309323398
45	-2.356170703
46	-2.402948304
47	-2.451293279
48	-2.498221512
49	-2.541891413
50	-2.585621178
51	-2.62902227
52	-2.668389171
53	-2.706185537
54	-2.747938437
55	-2.788159366
56	-2.826907839
57	-2.862727847
58	-2.899682211
59	-2.934309716
60	-2.967564236
61	-3.004419669
62	-3.037387393
63	-3.071790179
64	-3.103423192
65	-3.133043501
66	-3.162328307
67	-3.190919605
68	-3.221509726
69	-3.251085414
70	-3.280120104
71	-3.305797885
72	-3.333522119
73	-3.362336401
74	-3.387279386
75	-3.412255871
76	-3.436541005
77	-3.45998195
78	-3.482955532
79	-3.507614547
80	-3.531935756
81	-3.551833471
82	-3.572905873
83	-3.596447597
84	-3.616720584
85	-3.640022912
86	-3.65936928
87	-3.680503353
88	-3.699615355
89	-3.716957987
90	-3.734354327
91	-3.753202832
92	-3.770832665
93	-3.790025375
94	-3.808060777
95	-3.825941213
96	-3.841041546
97	-3.857358874
98	-3.872151573
99	-3.887815064
100	-3.903068762
101	-3.918144595
102	-3.932380809
103	-3.946500378
104	-3.960128743
105	-3.974552363
106	-3.987538778
107	-4.000926637
108	-4.012485914
109	-4.023410194
110	-4.035973363
111	-4.048279915
112	-4.061807756
113	-4.072366769
114	-4.083766467
115	-4.096406161
116	-4.108099803
117	-4.11889588
118	-4.128574465
119	-4.138022426
120	-4.148057158
121	-4.157647211
122	-4.169037427
123	-4.180760806
124	-4.188938361
125	-4.19748622
126	-4.205772468
127	-4.215397148
128	-4.223035119
129	-4.232222725
130	-4.2403713
131	-4.246934107
132	-4.253791114
133	-4.260454029
134	-4.267860086
135	-4.275558898
136	-4.282057908
137	-4.288678305
138	-4.294995226
139	-4.301547645
140	-4.309451871
141	-4.315022174
142	-4.320563362
143	-4.327145677
144	-4.332197777
145	-4.338380407
146	-4.343506288
147	-4.349064157
148	-4.354789349
149	-4.360305272
150	-4.365324574
151	-4.370545709
152	-4.375940997
153	-4.381612982
154	-4.386682946
155	-4.390847749
156	-4.395707909
157	-4.401662703
158	-4.405898208
159	-4.410363652
160	-4.415404047
161	-4.420025944
162	-4.425585398
163	-4.42988337
164	-4.433660505
165	-4.437590735
166	-4.440817657
167	-4.444040403
168	-4.447294904
169	-4.450440217
170	-4.454007137
171	-4.457376066
172	-4.46098601
173	-4.465527436
174	-4.468690885
175	-4.472087819
176	-4.474825886
177	-4.477920564
178	-4.481378458
179	-4.483960889
180	-4.486858677
181	-4.490195516
182	-4.492603868
183	-4.4951642
184	-4.497590192
185	-4.500727543
186	-4.503455532
187	-4.506838911
188	-4.510497021
189	-4.513337411
190	-4.515483325
191	-4.517838123
192	-4.520217147
193	-4.523814359
194	-4.526578606
195	-4.529227002
196	-4.532159071
197	-4.534967202
198	-4.537374313
199	-4.539534327
200	-4.541270429
201	-4.543028007
202	-4.544514998
203	-4.547055087
204	-4.549029983
205	-4.551150386
206	-4.552863913
207	-4.554972468
208	-4.557131028
209	-4.559227945
210	-4.561123005
211	-4.563119482
212	-4.564739665
213	-4.5663316
214	-4.568088685
215	-4.569515971
216	-4.571758222
217	-4.573577354
218	-4.574988996
219	-4.576775931
220	-4.579189377
221	-4.581238944
222	-4.583086077
223	-4.585535657
224	-4.587520886
225	-4.589792124
226	-4.591460222
227	-4.592751542
228	-4.595349993
229	-4.597199465
230	-4.598699807
231	-4.599850119
232	-4.601783928
233	-4.603343147
234	-4.604328102
235	-4.60546899
236	-4.60724654
237	-4.608393458
238	-4.609877537
239	-4.611500475
240	-4.613554586
241	-4.614747932
242	-4.615754532
243	-4.616799571
244	-4.618148041
245	-4.619665391
246	-4.620577194
247	-4.622009973
248	-4.622811143
249	-4.624565835
250	-4.626907058
251	-4.627997956
252	-4.629332871
253	-4.630872751
254	-4.632164186
255	-4.63321982
256	-4.63409017
257	-4.635735439
258	-4.637276763
259	-4.639910037
260	-4.640823105
261	-4.641981982
262	-4.643017702
263	-4.643914503
264	-4.644746412
265	-4.645988902
266	-4.647217893
267	-4.648385594
268	-4.649607088
269	-4.651063897
270	-4.652243073
271	-4.653565151
272	-4.654461885
273	-4.655732375
274	-4.656857093
275	-4.65771483
276	-4.659517243
277	-4.660976904
278	-4.662012787
279	-4.66302717
280	-4.664300093
281	-4.665536766
282	-4.666189429
283	-4.667552586
284	-4.668894359
285	-4.670148618
286	-4.671882323
287	-4.673274847
288	-4.675045285
289	-4.676365448
290	-4.677717381
291	-4.678483689
292	-4.679467905
293	-4.680292125
294	-4.682215869
295	-4.683679608
296	-4.684852667
297	-4.686157535
298	-4.687251271
299	-4.687648986
300	-4.688104995
301	-4.689491187
302	-4.69015721
303	-4.691446652
304	-4.692379646
305	-4.69349502
306	-4.694481086
307	-4.69590543
308	-4.696568312
309	-4.697633388
310	-4.699552592
311	-4.700478455
312	-4.70164837
313	-4.702522256
314	-4.703077389
315	-4.703871311
316	-4.704552534
317	-4.7056047
318	-4.706871588
319	-4.707772097
320	-4.708705618
321	-4.709760422
322	-4.710752953
323	-4.711862045
324	-4.712384794
325	-4.713027836
326	-4.714513537
327	-4.715522298
328	-4.715867195
329	-4.716274817
330	-4.716859786
331	-4.717617392
332	-4.718042891
333	-4.718998809
334	-4.719713473
335	-4.720936587
336	-4.722456677
337	-4.723684451
338	-4.7245037
339	-4.725413735
340	-4.726193973
341	-4.726523594
342	-4.727749392
343	-4.728118718
344	-4.728971118
345	-4.729928458
346	-4.7304298
347	-4.731123329
348	-4.731395923
349	-4.732348996
350	-4.733482467
351	-4.733673047
352	-4.734014089
353	-4.734306833
354	-4.734918327
355	-4.735405434
356	-4.735826672
357	-4.736057025
358	-4.736258667
359	-4.737150822
360	-4.737587973
361	-4.738782214
362	-4.739575251
363	-4.741678769
364	-4.742909766
365	-4.743941182
366	-4.74416398
367	-4.74452208
368	-4.74546475
369	-4.746792281
370	-4.747197758
371	-4.74767108
372	-4.747916929
373	-4.748293341
374	-4.748758371
375	-4.749660475
376	-4.750769486
377	-4.75100596
378	-4.751619253
379	-4.752413748
380	-4.753017962
381	-4.753283917
382	-4.754029867
383	-4.754461765
384	-4.754812438
385	-4.755405818
386	-4.755876125
387	-4.756594611
388	-4.75711422
389	-4.757762023
390	-4.758617952
391	-4.759205355
392	-4.759636725
393	-4.7603101
394	-4.760849117
395	-4.761477295
396	-4.761872614
397	-4.762154149
398	-4.763191287
399	-4.763784374
400	-4.764321974
401	-4.765211497
402	-4.765621383
403	-4.766068857
404	-4.766377783
405	-4.766621344
406	-4.767779762
407	-4.768134533
408	-4.768729136
409	-4.769208112
410	-4.769429374
411	-4.770225013
412	-4.771114077
413	-4.771488153
414	-4.771615847
415	-4.772547953
416	-4.772805566
417	-4.773258968
418	-4.77344347
419	-4.774181884
420	-4.775081947
421	-4.77545251
422	-4.776066162
423	-4.77673798
424	-4.777163521
425	-4.77821234
426	-4.778544921
427	-4.779096982
428	-4.779628131
429	-4.780018292
430	-4.780356833
431	-4.781170212
432	-4.781303625
433	-4.781707999
434	-4.782094549
435	-4.782225028
436	-4.783902999
437	-4.784071102
438	-4.784421199
439	-4.784701984
440	-4.785289434
441	-4.785544236
442	-4.786000356
443	-4.786848464
444	-4.787160177
445	-4.787719667
446	-4.788360702
447	-4.788634166
448	-4.789001126
449	-4.789578774
450	-4.790039135
451	-4.790219775
452	-4.791259811
453	-4.791742859
454	-4.792104815
455	-4.79253931
456	-4.793356275
457	-4.793844328
458	-4.794093886
459	-4.794419677
460	-4.794655623
461	-4.794888459
462	-4.795098932
463	-4.795451005
464	-4.79588866
465	-4.796342906
466	-4.796673725
467	-4.797148472
468	-4.797869742
469	-4.79834242
470	-4.79887032
471	-4.799532866
472	-4.800350105
473	-4.800666711
474	-4.801099339
475	-4.802796123
476	-4.803367287
477	-4.803775885
478	-4.80386523
479	-4.804326914
480	-4.804648597
481	-4.805096833
482	-4.805973565
483	-4.806468607
484	-4.806915945
485	-4.80781009
486	-4.80809848
487	-4.808902482
488	-4.809474476
489	-4.809998431
490	-4.81023509
491	-4.810489729
492	-4.811077535
493	-4.811539863
494	-4.812058113
495	-4.812229338
496	-4.813246392
497	-4.814416173
498	-4.814842005
499	-4.814967849
500	-4.815142825
501	-4.815531949
502	-4.81574891
503	-4.816184995
504	-4.816515571
505	-4.816947102
506	-4.817478574
507	-4.818300976
508	-4.818920948
509	-4.81917724
510	-4.819468735
511	-4.820278341
512	-4.820833517
513	-4.821231181
514	-4.821983483
515	-4.822315907
516	-4.822541641
517	-4.822943612
518	-4.823063176
519	-4.82348727
520	-4.823774981
521	-4.824014558
522	-4.824345429
523	-4.824452931
524	-4.824786496
525	-4.825374941
526	-4.826276003
527	-4.82672121
528	-4.826827473
529	-4.827104763
530	-4.827335529
531	-4.827648543
532	-4.828034037
533	-4.828331206
534	-4.828921229
535	-4.829306717
536	-4.830183533
537	-4.830420942
538	-4.831112619
539	-4.831677216
540	-4.831866337
541	-4.832106637
542	-4.832439319
543	-4.832737915
544	-4.833429189
545	-4.833757506
546	-4.834292591
547	-4.83456338
548	-4.834815778
549	-4.834981628
550	-4.835204981
551	-4.835508259
552	-4.83601906
553	-4.836423795
554	-4.836645632
555	-4.837054076
556	-4.838232199
557	-4.838717359
558	-4.839004546
559	-4.839387405
560	-4.839809726
561	-4.840376227
562	-4.840593156
563	-4.841203102
564	-4.841568994
565	-4.841811223
566	-4.842173594
567	-4.842660418
568	-4.843278803
569	-4.844030608
570	-4.844433341
571	-4.844557104
572	-4.844688587
573	-4.845038895
574	-4.845433238
575	-4.845476145
576	-4.845550394
577	-4.845928728
578	-4.846341038
579	-4.846764545
580	-4.847089846
581	-4.847150979
582	-4.847900066
583	-4.848114958
584	-4.848453822
585	-4.848881909
586	-4.849849865
587	-4.850709522
588	-4.851631692
589	-4.852209113
590	-4.852653385
591	-4.852953531
592	-4.853076615
593	-4.853343907
594	-4.85380626
595	-4.854063764
596	-4.854898447
597	-4.8556894
598	-4.855858175
599	-4.856076674
600	-4.856382801
601	-4.856541572
602	-4.857111974
603	-4.857376872
604	-4.857889105
605	-4.858333799
606	-4.858742998
607	-4.859044743
608	-4.859310795
609	-4.859466244
610	-4.859689581
611	-4.860218145
612	-4.860380947
613	-4.860677053
614	-4.860797121
615	-4.861200044
616	-4.861360564
617	-4.861840206
618	-4.862347567
619	-4.862453365
620	-4.862805274
621	-4.863323287
622	-4.863447713
623	-4.863842627
624	-4.864127331
625	-4.864665261
626	-4.864856127
627	-4.865123079
628	-4.865424437
629	-4.865971157
630	-4.866137006
631	-4.866327813
632	-4.866755878
633	-4.867011208
634	-4.867789589
635	-4.868117772
636	-4.868323805
637	-4.86837064
638	-4.868885372
639	-4.869234455
640	-4.869422504
641	-4.869886164
642	-4.870256049
643	-4.870627854
644	-4.870868688
645	-4.871157771
646	-4.871437526
647	-4.871775186
648	-4.872461172
649	-4.872786329
650	-4.87299362
651	-4.87361044
652	-4.874239208
653	-4.874434877
654	-4.874949824
655	-4.875061281
656	-4.875215553
657	-4.875457062
658	-4.875508882
659	-4.875836126
660	-4.8761361
661	-4.876314261
662	-4.876443611
663	-4.876696021
664	-4.877157838
665	-4.877521903
666	-4.877731454
667	-4.877914908
668	-4.878277317
669	-4.878489461
670	-4.878733538
671	-4.879154476
672	-4.880006553
673	-4.880243441
674	-4.88045996
675	-4.88071884
676	-4.880955698
677	-4.881747478
678	-4.882028576
679	-4.882162233
680	-4.882469875
681	-4.88251312
682	-4.883329399
683	-4.883723746
684	-4.884038814
685	-4.884268889
686	-4.884518545
687	-4.884715734
688	-4.88478746
689	-4.885134752
690	-4.885472124
691	-4.886065563
692	-4.886509715
693	-4.8870025
694	-4.887369577
695	-4.887797588
696	-4.888195596
697	-4.888339508
698	-4.88844028
699	-4.888598782
